1 48 0.0271 0.0003 0.0268 48 0.0192 0.0003 0.0189
2 48 0.0235 0.0003 0.0233 48 0.0206 0.0003 0.0203
4 48 0.0216 0.0003 0.0213 48 0.0207 0.0003 0.0203
8 48 0.0358 0.0005 0.0353 48 0.0220 0.0004 0.0216
16 48 0.0325 0.0008 0.0318 48 0.0232 0.0008 0.0224
32 48 0.0331 0.0020 0.0312 48 0.0255 0.0019 0.0236
64 48 0.0416 0.0050 0.0366 48 0.0330 0.0062 0.0269
128 48 0.0835 0.0299 0.0536 48 0.0667 0.0285 0.0381
256 48 0.1921 0.1249 0.0672 48 0.1834 0.1251 0.0583
512 48 0.7841 0.6312 0.1529 48 0.7606 0.6131 0.1476
1024 48 10.0658 8.5017 1.5641 48 9.7941 8.0265 1.7676
1280 48 15.2551 13.9084 1.3467 48 15.1624 13.6774 1.4851
1536 48 21.8922 20.1464 1.7458 48 21.8064 20.3013 1.5051
1792 48 29.8916 27.8389 2.0527 48 29.2214 27.1509 2.0705
2048 48 38.0347 35.9503 2.0844 48 38.1530 34.9055 3.2475
2560 48 59.9988 57.0899 2.9089 48 59.3701 54.4176 4.9525
3072 48 85.7252 82.1805 3.5447 48 84.3458 76.3489 7.9969
3584 48 116.8558 111.3422 5.5135 48 114.1223 108.7637 5.3586
4096 48 149.6250 135.6984 13.9266 48 149.2005 144.2104 4.9901
5120 48 231.9163 212.4890 19.4273 48 231.4822 225.7300 5.7522
6144 48 331.5704 313.8723 17.6982 48 331.6282 323.5201 8.1081
7168 48 450.2462 434.3910 15.8552 48 449.5928 439.4382 10.1546
8192 48 585.9872 567.2139 18.7733 48 584.9307 576.5344 8.3963
9216 48 749.2245 718.6415 30.5829 48 741.5355 725.1065 16.4289
10240 48 914.0317 895.4837 18.5480 48 918.6749 902.7881 15.8868
11264 48 1105.9534 1084.0586 21.8948 48 1103.9761 1083.3853 20.5908
12288 48 1314.1581 1289.2810 24.8771 48 1319.5458 1294.7601 24.7857
13312 48 1541.8896 1517.1940 24.6956 48 1548.1652 1523.4128 24.7524
14336 48 1784.4341 1761.6701 22.7640 48 1788.0373 1763.8573 24.1800
15360 48 2050.6806 2027.1281 23.5525 48 2052.3738 2025.5372 26.8366
16384 48 2326.2601 2296.8621 29.3980 48 2334.3125 2305.2778 29.0346
17408 48 2633.9550 2601.5258 32.4292 48 2633.5973 2613.2705 20.3269
