1  0.000427625	0.0003675	0.000302	0.000682	0.000118331
2  0.000427972	0.000354	0.000291	0.000663	0.000128978
4  0.000486764	0.0004945	0.000307	0.000724	0.000124146
8  0.000682292	0.000545	0.000473	0.001045	0.000207515
16  0.00116433	0.0009545	0.000843	0.001697	0.000300838
32  0.00284899	0.002732	0.002021	0.004169	0.000730997
64  0.00894461	0.00947	0.006272	0.011320	0.00179475
128  0.0337602	0.02996	0.028098	0.045095	0.00551486
256  0.131354	0.129037	0.121671	0.150110	0.00828873
512  0.686042	0.686017	0.657961	0.731668	0.016863
1024  8.60007	8.46813	7.775734	9.385276	0.495062
1536  20.9584	21.0019	19.875859	21.926680	0.756343
2048  38.2331	37.7411	36.672721	40.907559	1.46511
2560  61.1691	60.7023	58.948176	64.354282	1.74623
3072  87.8804	88.1941	83.894300	93.021810	2.40518
3584  116.79	115.566	110.462061	126.549397	4.25328
4096  155.508	155.705	147.773667	161.343637	4.56226
4608  197.404	197.318	187.375899	206.142015	5.47961
5120  250.575	250.789	240.506321	259.006552	5.02466
5632  304.169	304.433	295.004590	313.248863	5.32719
6144  363.642	362.491	357.445788	373.055188	4.39491
6656  429.172	429.836	419.505054	436.300278	5.31227
7168  499.505	499.817	490.696950	507.165692	4.75263
7680  573.163	573.713	563.355127	581.129231	4.93716
8192  654.29	654.383	645.092762	662.329645	4.27765
9216  828.56	827.97	817.173147	838.579474	5.05769
10240  1026.98	1026.71	1015.330220	1036.043091	4.72265
11288  1243.18	1243.07	1223.322939	1258.842964	8.18066
12312  1487.33	1487.27	1473.350315	1499.238100	5.92196
13360  1744.78	1746.55	1723.909627	1762.252440	8.21885
14336  1935.63	1929.68	1809.268649	2035.270599	47.1452
16384  2596.19	2594.48	2523.206097	2659.224092	28.8794
17408  2759.91	2773.03	2571.124329	2950.846479	134.411
