1  0.106833	0.106835	0.106761	0.106896	2.8129e-05
2  0.0909839	0.0909895	0.090887	0.091050	2.80748e-05
4  0.107783	0.107785	0.107724	0.107837	2.8051e-05
8  0.0940139	0.094021	0.093921	0.094063	2.9855e-05
16  0.112659	0.112659	0.112573	0.112749	3.82817e-05
32  0.104511	0.104513	0.104401	0.104591	3.97925e-05
64  0.117333	0.117328	0.117175	0.117475	5.83738e-05
128  0.165716	0.165745	0.165424	0.165942	0.000131541
256  0.299557	0.299594	0.298308	0.300228	0.000430833
512  0.955586	0.955749	0.953110	0.957454	0.00117978
1024  10.7693	10.7711	10.743866	10.778865	0.00794523
1536  23.9817	23.9842	23.945896	24.004507	0.014628
2048  42.4449	42.4452	42.419426	42.463133	0.00997933
2560  66.1273	66.1274	66.096818	66.151796	0.0127344
3072  95.0666	95.0663	95.015720	95.107369	0.0191673
3584  129.287	129.286	129.243863	129.324111	0.0167039
4096  168.717	168.713	168.677559	168.753957	0.0206954
4608  213.378	213.378	213.306346	213.432069	0.0275365
5120  262.941	262.965	262.736414	263.105352	0.0921458
5632  317.903	317.906	317.626001	318.134279	0.121497
6144  378.057	378.106	377.663354	378.315248	0.162132
6656  443.514	443.517	443.417975	443.588632	0.0472835
7168  514.454	514.47	514.344321	514.535702	0.0543443
7680  590.582	590.596	590.464211	590.676518	0.0624565
8192  671.731	671.75	671.597063	671.836913	0.0721985
9216  849.788	849.815	849.614932	849.923365	0.0906794
10240  1048.8	1048.84	1048.583078	1048.965036	0.109156
11288  1274.39	1274.4	1274.125154	1274.597288	0.13558
12312  1515.61	1515.69	1515.266642	1515.851481	0.160674
13360  1784.46	1784.53	1784.062625	1784.761978	0.193857
14336  2055.62	2055.68	2055.163573	2056.014766	0.233592
16384  2684.55	2684.71	2683.746974	2685.029261	0.343226
17408  3037.59	3037.63	3036.224241	3038.776192	0.581695
