1  0.000445528	0.000378	0.000285	0.000686	0.000130159
2  0.000461431	0.0004585	0.000295	0.000684	0.000132371
4  0.000493722	0.000472	0.000324	0.000709	0.000136294
8  0.000704028	0.0006225	0.000482	0.001098	0.000199775
16  0.00130229	0.0013495	0.000847	0.001813	0.000323885
32  0.00289814	0.002473	0.002030	0.004044	0.000781698
64  0.00875275	0.0085095	0.006314	0.011726	0.00208249
128  0.0340273	0.0318585	0.028217	0.044221	0.00542744
256  0.130569	0.127924	0.121541	0.149257	0.00810747
512  0.682365	0.681825	0.645945	0.721116	0.0166982
1024  8.6929	8.77005	7.812737	9.390226	0.603925
1536  20.9281	21.0569	19.617670	22.005740	0.595257
2048  38.4751	38.1308	36.967676	40.544437	1.08982
2560  61.0516	61.0973	58.003410	63.679520	1.56544
3072  88.467	87.6111	85.984637	92.294747	1.97233
3584  115.845	114.343	108.873139	125.505099	5.54441
4096  154.111	154.687	145.773212	162.238755	5.37423
4608  195.411	197.376	185.427016	204.553584	6.33031
5120  250.558	250.295	242.525008	258.932537	4.79834
5632  304.054	302.399	296.642869	312.265967	5.41611
6144  362.16	361.689	352.541842	373.052293	6.16456
6656  428.061	428.743	418.279876	436.489327	6.09066
7168  497.781	498.291	487.149654	505.852235	5.62009
7680  573.621	574.226	563.291630	581.574025	4.34068
8192  653.88	654.319	642.545247	662.320773	4.52573
9216  827.393	827.959	813.244944	838.901669	6.19158
10240  1029.27	1029.05	1021.328821	1038.864563	3.93967
11288  1252.48	1252.75	1242.477676	1263.741521	5.00895
12312  1490.04	1491.07	1479.555051	1502.128788	5.83048
13360  1753.61	1754.03	1735.674034	1768.947167	7.71999
14336  1998.29	1996.39	1962.068673	2029.118981	14.4905
15360  2287.13	2290.72	2230.244590	2327.118702	25.8031
16384  2600.1	2603.14	2535.392349	2649.887095	27.3088
17408  2776.99	2761.48	2708.415848	2884.012575	52.9321
